#{"t_start": 1775663766.3736534, "env_id": "V2GDeepEnv-profit"}
r,l,t
0.182298,17,11.629732
0.249774,27,11.67724
-0.701175,16,11.704241
-1.847538,22,11.741242
0.416113,15,11.767374
0.600282,12,11.789375
-0.159583,31,11.842376
-0.534941,25,11.895885
-3.77279,40,11.983393
-0.299765,22,12.030393
0.403865,14,12.059901
0.615788,14,12.088902
-1.397814,19,12.126902
-0.983352,14,12.155409
0.057462,14,12.185409
0.081004,23,12.225409
-2.88219,39,12.292556
-0.127881,18,12.323557
-0.092365,22,12.362699
0.102105,50,12.448701
-0.686117,44,12.5268
0.169396,27,12.574128
0.531507,18,12.605128
-0.027834,33,12.662636
-0.104787,24,12.704636
-1.10678,28,12.752638
0.271047,19,12.786069
-1.46993,13,12.809069
-1.387187,32,12.86358
-0.017204,41,12.93558
0.016114,25,12.980627
0.328698,27,13.041584
-0.337774,20,13.08762
0.278364,16,13.118873
0.27692,10,13.140875
0.293191,19,13.179344
-2.650862,19,13.219344
0.244196,19,13.254851
0.583192,12,13.275853
0.305325,12,13.296852
0.029936,18,13.328852
0.062054,33,13.385905
-0.113746,40,13.456926
0.030283,23,13.495925
0.327175,23,13.537926
-1.198814,35,13.598126
0.219134,27,13.645129
0.685721,18,13.677635
0.106477,20,13.712635
0.145183,21,13.747637
-0.010429,33,13.806143
0.455016,15,13.833143
0.805412,16,13.869192
-0.094322,19,13.913193
0.547486,23,13.952195
0.345075,12,13.973262
-0.579862,28,14.023262
0.588292,32,14.078771
0.544016,32,14.134769
0.698709,19,14.167279
0.671283,16,14.196278
0.042244,30,14.249281
0.037229,20,14.283536
0.023066,26,14.329536
-2.753041,32,14.385645
-0.012934,35,14.447648
0.180202,9,14.463154
0.280684,18,14.496154
0.289226,19,14.531154
0.051851,32,14.587663
-0.445376,31,14.641665
-0.175531,21,14.680738
-0.041347,31,14.733737
0.021988,29,14.787131
0.227649,30,14.838131
0.185405,31,14.89464
0.284759,27,14.93964
0.58629,22,14.979659
0.281032,26,15.024659
0.433499,18,15.055716
-0.441093,38,15.122715
0.432796,26,15.177358
-0.273601,21,15.216431
0.121805,34,15.278443
0.228295,10,15.300443
0.429884,20,15.343446
-0.956833,44,15.433563
0.594731,21,15.470072
0.755044,29,15.522072
0.312597,8,15.536072
0.307075,18,15.56858
0.002413,24,15.61358
-3.725548,64,15.730622
0.27642,24,15.775131
0.6564,19,15.811131
-1.739461,43,15.901639
0.103697,24,15.951641
-1.104177,24,15.995125
-0.268689,27,16.041127
-0.337784,29,16.092632
-0.121831,26,16.137632
0.501398,15,16.16398
-0.170215,26,16.20998
0.140282,15,16.23598
-0.041117,29,16.287493
0.682827,24,16.330494
0.019452,22,16.369558
0.746208,28,16.419558
-1.321101,45,16.50157
-0.312648,20,16.543573
0.213542,20,16.58408
0.477771,23,16.63408
0.012188,20,16.676588
0.156208,26,16.732588
-0.271805,17,16.766893
-0.309916,35,16.832893
0.915292,18,16.871047
-0.518103,26,16.926047
0.472459,20,16.961482
0.172996,33,17.018481
0.514462,26,17.063989
0.702097,17,17.093988
0.646892,15,17.122989
0.561145,18,17.153991
0.153847,33,17.212447
0.704968,17,17.24245
-0.540998,52,17.351017
0.301205,14,17.377566
-0.197577,32,17.447766
-1.499402,22,17.495271
0.038679,22,17.543274
-0.751579,42,17.630696
0.26729,8,17.644699
0.416607,16,17.672204
-0.393379,11,17.691205
-0.378282,35,17.753207
0.675364,23,17.793714
0.525019,23,17.835713
0.560034,11,17.855218
-0.878509,19,17.88922
0.253428,14,17.913221
-0.097585,22,17.952223
0.924332,17,17.98239
0.237778,17,18.011389
0.510208,15,18.036389
-0.080332,32,18.093409
-1.304081,26,18.138409
-0.444741,26,18.185464
-1.003341,51,18.272748
-0.238729,25,18.316748
-0.96082,30,18.368962
0.29619,34,18.429963
0.263145,35,18.493471
0.164548,32,18.548473
0.186394,23,18.589979
0.551958,19,18.623979
-3.50009,44,18.700051
-0.063699,45,18.778192
-0.296461,27,18.826192
-1.300145,33,18.890701
0.327132,8,18.9077
0.424647,15,18.9377
0.251258,14,18.963209
0.698612,41,19.033209
-0.269237,44,19.111694
0.195246,32,19.167202
0.075668,35,19.227202
-0.336775,35,19.290386
-0.122292,30,19.34239
0.07569,39,19.411478
-1.362527,34,19.473837
-0.051699,9,19.491135
0.429053,24,19.534184
-0.63874,48,19.636127
0.368373,40,19.724397
0.012124,20,19.766604
0.09303,28,19.823604
0.104065,30,19.886113
0.649335,28,19.949115
0.521856,23,20.00062
0.27906,28,20.062756
-0.138313,21,20.104756
0.227222,29,20.166244
-0.438539,18,20.204243
0.035539,28,20.266752
0.362787,7,20.282751
0.170985,22,20.327751
0.385682,18,20.358903
0.108927,16,20.387902
0.250198,11,20.407903
0.544167,27,20.455905
-4.052461,33,20.513929
0.816249,21,20.549931
0.57475,15,20.576169
-0.810854,27,20.62417
0.372082,23,20.665207
0.228659,34,20.724207
0.486597,18,20.75621
-2.689579,42,20.829375
-0.094452,33,20.8874
0.785103,23,20.9294
1.002109,20,20.96956
0.112083,39,21.054561
0.282409,28,21.113889
1.104635,31,21.170399
