#{"t_start": 1778763575.918714, "env_id": "V2GEnv-continuous"}
r,l,t
-3.275937,20,14.574849
-5.411952,33,14.644204
-3.257935,34,14.712543
-1.117705,14,14.743201
-0.110894,26,14.797864
-1.861643,40,14.881025
-1.546431,17,14.915239
-2.551697,28,14.981243
-3.967887,29,15.04938
-0.934672,12,15.079021
-3.780546,29,15.148393
-3.049797,42,15.247265
-1.186114,32,15.316008
-1.739768,24,15.364875
-3.425407,32,15.432213
-3.25152,15,15.464242
0.001877,27,15.527273
-1.685423,36,15.610834
-0.156489,19,15.650794
-0.282379,12,15.675662
-0.061226,19,15.712121
0.552546,32,15.779283
-0.769064,15,15.809092
-0.988801,18,15.848108
-4.089212,38,15.925854
-0.692339,14,15.956102
-2.646703,16,15.990354
-0.243973,15,16.025871
-0.937517,9,16.048248
-1.541622,23,16.094735
-0.677639,11,16.117606
-0.133799,13,16.144504
-0.719612,26,16.198292
-1.079955,12,16.223419
-2.287753,16,16.256804
0.217787,25,16.310145
-0.881367,20,16.351887
-1.338309,13,16.378986
-0.100428,17,16.413853
-1.055028,16,16.444899
-1.48237,11,16.46684
-0.423596,11,16.488818
-1.066819,20,16.535246
0.151843,25,16.594805
0.45088,30,16.653917
0.36702,12,16.680909
-1.708748,14,16.708823
-2.898471,22,16.755792
-2.503568,26,16.808325
-1.076072,12,16.833348
-0.845639,15,16.864019
-0.643556,13,16.890329
-0.554824,12,16.91483
-4.776282,21,16.958781
-1.122145,23,17.006829
-1.915917,30,17.070181
-2.653006,55,17.188473
-2.150972,22,17.238013
-0.362364,12,17.264136
-3.928519,33,17.332113
-1.061744,23,17.380193
-1.370306,27,17.433708
-0.502402,36,17.50883
-0.017982,10,17.528862
-3.073396,23,17.577989
-0.605957,33,17.651319
-1.492319,42,17.742189
-0.583342,20,17.783293
-0.443343,21,17.827169
-1.128635,15,17.857906
-0.764939,19,17.895012
-0.230565,21,17.938336
0.239663,28,17.994565
-0.750859,31,18.057922
-0.619333,18,18.09691
-3.271296,15,18.126406
-0.48066,19,18.169139
-0.10522,12,18.200391
0.360487,22,18.256373
-0.01645,24,18.327463
-1.173434,19,18.37703
-1.124126,22,18.42812
-0.555184,11,18.450153
-0.646604,27,18.511091
-3.982568,25,18.564149
-1.150234,24,18.611745
-1.827396,13,18.642864
-0.808919,12,18.668869
-0.951537,19,18.708908
0.500448,14,18.737079
-0.35091,33,18.823313
-0.170522,17,18.872791
-1.377741,31,18.951232
-0.048452,33,19.031046
-0.324942,21,19.07686
-0.881083,19,19.117871
-0.279474,12,19.143146
-2.617436,15,19.173271
-1.352143,14,19.202425
-0.455622,24,19.25481
-0.062749,23,19.309195
1.18173,29,19.379876
-0.257614,26,19.444585
0.137627,10,19.467126
0.085333,20,19.511916
0.026663,26,19.573039
0.554528,31,19.639131
-1.700493,44,19.73276
-1.253611,25,19.786342
-0.147127,21,19.832051
-0.160137,33,19.90099
-0.602178,26,19.957381
0.25324,12,19.994102
-0.755996,18,20.043802
0.381069,27,20.113221
-1.18791,9,20.134096
-2.150167,27,20.189943
-0.893115,9,20.210268
0.436007,30,20.274228
-0.220202,12,20.300346
-1.476159,33,20.369983
-0.912972,9,20.389016
0.857095,25,20.442105
-1.285736,37,20.518105
-2.217976,22,20.56211
-0.521568,37,20.642874
0.452264,43,20.735801
-1.532895,18,20.775901
-1.462476,24,20.824918
0.661973,23,20.873921
-0.578944,31,20.940996
-1.3e-05,16,20.975334
0.429269,25,21.030389
0.272065,19,21.075679
-1.932045,33,21.147876
-0.374815,31,21.215835
-0.549432,28,21.284859
-1.03522,26,21.343854
0.525459,24,21.395189
-0.60964,24,21.446794
-0.665601,17,21.482759
-0.338126,7,21.499334
0.755386,27,21.563014
-1.147733,10,21.589965
0.26823,9,21.618295
1.683284,50,21.752858
-1.396127,37,21.841624
1.341472,31,21.912047
0.580409,21,21.955803
-0.028989,16,21.991073
-0.632801,13,22.018338
-0.627485,23,22.066806
-0.605723,21,22.125066
-0.481346,15,22.167673
-1.526365,17,22.207757
0.017391,24,22.266483
-0.1984,30,22.329123
0.063808,20,22.374395
-1.259619,15,22.407936
0.574163,17,22.444294
-2.031083,28,22.505907
-0.902586,10,22.527191
0.079547,29,22.591056
-1.864119,25,22.645864
0.035978,26,22.702287
-0.339389,11,22.726907
0.102448,12,22.752003
0.107064,22,22.799227
0.319966,23,22.848906
-2.454897,6,22.863034
0.151878,11,22.885661
0.03546,20,22.92703
-0.425912,26,22.983258
-1.348564,15,23.014981
-0.896402,7,23.030808
1.083701,32,23.100353
-2.127258,16,23.134856
-0.201134,11,23.157892
-1.356981,7,23.171658
-1.249542,24,23.222325
0.855396,24,23.275205
-1.169814,19,23.315002
-0.408134,18,23.355381
-0.950519,20,23.39544
-0.088111,19,23.435912
0.600005,41,23.523345
0.27221,22,23.576369
-0.329574,17,23.618349
-1.548263,23,23.673108
-1.89822,22,23.720859
-0.10396,11,23.743568
0.726971,19,23.781921
1.026418,33,23.85387
0.554798,22,23.90225
-0.416372,17,23.939054
-0.148926,10,23.958469
-6.310243,12,23.981818
-0.814858,16,24.01887
0.591398,11,24.041863
-1.409428,34,24.116478
-1.097221,25,24.177204
0.362124,25,24.233871
0.262804,26,24.288063
-0.070799,10,24.307952
0.989956,27,24.366066
-0.742221,12,24.392005
-0.325153,17,24.428749
-0.532059,13,24.457105
-0.437574,28,24.514796
-1.346811,14,24.544685
-0.146747,19,24.584864
-1.003464,14,24.617143
1.062536,33,24.687782
0.581767,22,24.734798
0.733466,19,24.776348
-0.621583,26,24.827288
-1.37648,11,24.849393
-2.849998,7,24.864959
-0.16525,24,24.917889
-0.847068,16,24.952724
0.052843,17,24.988926
0.864244,27,25.047162
-0.460703,31,25.112897
-0.346529,11,25.135858
-0.420007,17,25.171108
1.293609,48,25.285405
0.680701,17,25.334078
-0.348576,9,25.357238
0.43972,31,25.431287
0.113035,25,25.489116
0.40515,13,25.521748
-0.453857,13,25.552001
-0.600394,18,25.595381
2.115529,52,25.707253
0.473835,26,25.767529
-1.514631,19,25.808865
-0.691717,20,25.852812
-2.228107,16,25.890251
0.607613,31,25.956823
0.762016,26,26.015465
-4.789049,21,26.062837
1.70766,34,26.148309
0.204463,15,26.18625
0.009771,18,26.231802
0.080389,17,26.275156
-0.300556,16,26.318336
-0.829252,10,26.343875
-0.099113,13,26.374959
-0.337819,11,26.406491
-0.984676,26,26.47725
-0.520542,20,26.533123
-1.278335,22,26.592937
0.005135,24,26.655224
-1.022758,16,26.693028
1.810169,32,26.770199
-0.762146,12,26.801646
0.469526,10,26.830379
-0.580307,18,26.878075
-0.24325,39,26.978826
-3.479566,19,27.032457
0.838319,35,27.116924
-0.681688,14,27.147304
0.443088,25,27.201053
-0.505675,26,27.254837
0.249555,13,27.285889
0.025249,25,27.340116
-0.925656,25,27.392918
-1.409788,30,27.454861
-1.164542,30,27.520332
0.265325,19,27.563838
0.352253,27,27.627283
-0.828451,15,27.659286
-0.272312,29,27.728067
-2.120884,20,27.773865
0.737129,33,27.850245
0.697977,27,27.912722
0.027115,33,28.016854
0.022032,15,28.083744
0.371284,19,28.175111
-1.723286,6,28.208519
-0.42403,16,28.293889
0.234971,21,28.41202
1.005083,29,28.565109
-1.37307,11,28.621799
-4.578906,11,28.691059
-0.185403,28,28.849093
-3.234688,22,28.986139
-1.333367,33,29.15504
0.92514,36,29.398168
0.060142,16,29.542658
-0.72355,6,29.586122
-0.219386,13,29.677121
0.277683,22,29.82616
-0.212234,15,29.928831
0.089979,19,30.066181
-0.342441,13,30.157889
1.140268,34,30.374852
1.4204,50,30.701082
0.624438,22,30.838259
-0.208667,18,30.922101
-0.309367,33,31.114128
-0.070975,12,31.212835
0.459812,21,31.360349
0.470348,20,31.498177
-0.251013,25,31.688963
-1.729076,11,31.780409
0.025586,18,31.910175
-3.652421,26,32.132871
0.193015,17,32.252879
0.095072,13,32.346867
-0.009723,16,32.507898
0.612653,15,32.626983
0.595978,24,32.832811
