epoch,amount_charged,amount_discharged,charge_price_quality,discharge_price_quality,soc_below_target,soc_above_target,journey_failure
1,0.499201,0.50029,0.504665,0.495278,-0.997762,-0.192979,-0.998603
2,0.49859,0.500044,0.509968,0.491285,-0.995279,-0.186621,-0.997155
3,0.497814,0.500303,0.514689,0.486922,-0.992932,-0.179447,-0.995734
4,0.496924,0.500222,0.519435,0.482744,-0.991339,-0.171977,-0.99443
5,0.496253,0.500914,0.523065,0.477566,-0.988884,-0.166086,-0.992984
6,0.495167,0.501143,0.527115,0.472211,-0.986247,-0.161385,-0.991536
7,0.493954,0.50119,0.532124,0.466972,-0.984046,-0.156809,-0.990089
8,0.492759,0.501319,0.536565,0.462071,-0.981633,-0.151203,-0.988649
9,0.491614,0.501525,0.53963,0.456313,-0.979141,-0.148015,-0.987202
10,0.490595,0.5018,0.543916,0.451655,-0.976555,-0.142966,-0.985755
11,0.489503,0.502066,0.548119,0.445879,-0.973993,-0.138749,-0.984314
12,0.48854,0.501997,0.552751,0.441298,-0.971332,-0.133945,-0.982873
13,0.487446,0.502095,0.556636,0.435826,-0.968711,-0.130627,-0.981426
14,0.486371,0.502369,0.561022,0.430838,-0.966283,-0.127394,-0.980027
15,0.485103,0.502457,0.565098,0.425727,-0.963888,-0.122485,-0.978582
16,0.484005,0.502764,0.568732,0.420507,-0.961338,-0.118016,-0.977136
17,0.48266,0.502872,0.572484,0.415086,-0.958859,-0.114388,-0.97572
18,0.481174,0.50304,0.576249,0.409237,-0.956348,-0.112503,-0.974287
19,0.479788,0.503487,0.579043,0.403521,-0.953643,-0.11027,-0.972842
20,0.478525,0.504099,0.581492,0.397993,-0.951011,-0.107159,-0.971404
