epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.878715,0.149319,5.760325,4.146893,-4.146893,0.892584,0.145961,7.07257,0.001
2,0.907546,0.149028,6.68756,3.904963,-3.904963,0.894359,0.148727,6.730422,0.001
3,0.88076,0.148405,5.582678,3.780762,-3.780762,0.916763,0.161162,6.79341,0.001
4,0.916222,0.145919,6.036596,3.649455,-3.649455,0.928118,0.155041,7.018374,0.001
5,0.978835,0.155034,6.287333,3.540103,-3.540103,0.919325,0.167576,7.492038,0.001
6,1.004337,0.163464,6.240384,3.478659,-3.478659,1.029462,0.164212,7.867195,0.001
7,0.947857,0.155574,5.47369,3.415433,-3.415433,0.880019,0.161958,6.25216,0.001
8,0.870388,0.139177,4.602782,3.359985,-3.359985,0.805762,0.148664,5.626882,0.001
9,0.780246,0.128518,3.490464,3.288868,-3.288868,0.70383,0.115502,4.971294,0.001
10,0.742501,0.124906,2.545352,3.253427,-3.253427,0.599939,0.114511,3.758348,0.001
11,0.705618,0.123588,2.666695,3.208923,-3.208923,0.663429,0.107357,3.75029,0.001
12,0.674526,0.114503,2.216418,3.189354,-3.189354,0.595162,0.088859,2.926863,0.001
13,0.679043,0.114871,1.997752,3.175972,-3.175972,0.576217,0.090835,2.69266,0.001
14,0.665852,0.114371,2.003494,3.154483,-3.154483,0.631172,0.106438,3.527032,0.001
15,0.649278,0.10987,1.902636,3.145762,-3.145762,0.542837,0.093002,2.921717,0.001
16,0.640824,0.109882,2.182476,3.147049,-3.147049,0.613308,0.098,3.447465,0.001
17,0.639,0.108382,2.244816,3.121816,-3.121816,0.625191,0.1016,3.451888,0.001
18,0.64709,0.108983,1.908311,3.110429,-3.110429,0.636142,0.093357,2.947884,0.001
19,0.62379,0.108442,2.184544,3.107669,-3.107669,0.591802,0.108967,3.16085,0.001
20,0.631541,0.10876,2.28118,3.089156,-3.089156,0.618792,0.09459,3.515272,0.001
