epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.876625,0.148269,5.14314,3.819611,-3.819611,0.943917,0.146147,4.52542,0.001
2,0.906071,0.150645,6.027306,3.702656,-3.702656,0.967429,0.153502,5.644912,0.001
3,0.938975,0.148216,5.240542,3.577434,-3.577434,0.977651,0.144433,5.087776,0.001
4,0.926376,0.145764,4.774528,3.49591,-3.49591,0.972483,0.13886,5.07209,0.001
5,0.929394,0.150999,5.121858,3.447649,-3.447649,0.921028,0.139307,4.770438,0.001
6,0.974313,0.156691,4.84255,3.389584,-3.389584,1.064208,0.150377,4.561662,0.001
7,0.851323,0.146306,4.582956,3.265973,-3.265973,0.883752,0.149198,4.386364,0.001
8,0.889953,0.148867,4.003242,3.257441,-3.257441,0.818021,0.142923,3.481091,0.001
9,0.840536,0.13848,3.732774,3.209018,-3.209018,0.802679,0.131156,3.883464,0.001
10,0.82071,0.142316,3.762492,3.195742,-3.195742,0.782609,0.143333,3.736799,0.001
11,0.751883,0.130126,2.924246,3.162456,-3.162456,0.80234,0.130075,3.543899,0.001
12,0.754637,0.125694,2.405258,3.140477,-3.140477,0.785708,0.132175,2.828631,0.001
13,0.718751,0.122498,2.397924,3.13043,-3.13043,0.663101,0.124416,2.516927,0.001
14,0.661152,0.111994,1.873613,3.127794,-3.127794,0.676999,0.111181,2.344938,0.001
15,0.692022,0.114573,1.936743,3.110801,-3.110801,0.686259,0.112294,2.295196,0.001
16,0.663145,0.114408,2.247112,3.102303,-3.102303,0.614748,0.111982,2.287316,0.001
17,0.613615,0.104449,1.872262,3.094133,-3.094133,0.558863,0.097291,2.079695,0.001
18,0.636357,0.108807,2.016871,3.094485,-3.094485,0.724546,0.102519,2.444624,0.001
19,0.62655,0.109743,2.138909,3.066379,-3.066379,0.627558,0.109424,2.76872,0.001
20,0.604796,0.105199,2.099328,3.075082,-3.075082,0.552962,0.095727,2.4455,0.001
