epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.634599,0.11244,2.503058,3.161239,-3.161239,0.748669,0.145192,3.443343,0.001
2,0.598953,0.106905,2.460921,3.150941,-3.150941,0.736209,0.143738,3.252154,0.001
3,0.611897,0.109677,2.571577,3.121402,-3.121402,0.765546,0.137701,3.010281,0.001
4,0.593305,0.104677,2.490484,3.110405,-3.110405,0.791685,0.133646,2.843427,0.001
5,0.613095,0.106206,2.535428,3.092576,-3.092576,0.850825,0.143381,2.712814,0.001
6,0.575563,0.10044,2.305453,3.112579,-3.112579,0.631678,0.122407,2.446015,0.001
7,0.584441,0.101176,2.299733,3.09058,-3.09058,0.686039,0.11569,3.61894,0.001
8,0.555706,0.099793,2.171955,3.081122,-3.081122,0.641656,0.119332,4.023159,0.001
