epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,3.076606,0.716029,0.113778,-3.981309,2.746368,0.654997,0.098731,0.01,1.579695
2,2.963625,0.678685,0.110771,-3.960009,2.727048,0.683161,0.102499,0.01,1.443519
3,2.912933,0.710054,0.113939,-3.855901,2.707437,0.656276,0.102189,0.01,1.552437
4,3.005401,0.702707,0.109892,-3.922205,2.693912,0.814992,0.106278,0.01,1.547147
5,2.968865,0.698088,0.111797,-3.909326,2.643391,0.697647,0.098038,0.01,1.530338
6,2.986076,0.726281,0.114707,-3.89043,2.793498,0.715393,0.107134,0.01,1.550149
7,2.970991,0.693234,0.114263,-3.860088,2.754132,0.703186,0.10524,0.01,1.466332
8,2.995634,0.709895,0.112526,-3.833134,2.759431,0.690475,0.101424,0.01,1.59732
9,2.748148,0.677215,0.110199,-3.823627,2.573994,0.669714,0.091382,0.01,1.410747
10,2.786881,0.666771,0.110054,-3.821366,2.596143,0.628165,0.091726,0.01,1.438365
11,2.726156,0.668818,0.109029,-3.797345,2.522899,0.701249,0.096203,0.01,1.393925
12,2.610227,0.649628,0.108503,-3.778713,2.490382,0.60794,0.09644,0.01,1.392254
13,2.58976,0.673099,0.11113,-3.762627,2.383942,0.635311,0.103213,0.01,1.368045
14,2.539266,0.648343,0.107476,-3.747238,2.427749,0.628863,0.104981,0.01,1.333119
15,2.766143,0.680909,0.110089,-3.740801,2.578094,0.570191,0.095914,0.01,1.436533
16,2.574952,0.637788,0.108748,-3.70316,2.729339,0.689332,0.10229,0.01,1.322658
17,2.63262,0.64398,0.10866,-3.701426,2.6237,0.642224,0.098007,0.01,1.421567
18,2.268244,0.665238,0.112161,-3.667257,2.0972,0.556116,0.099976,0.01,1.236501
19,2.164667,0.612989,0.10755,-3.670147,2.089472,0.653535,0.096837,0.01,1.141969
20,2.328041,0.611301,0.107549,-3.666052,2.215897,0.534355,0.092091,0.01,1.213607
