#{"t_start": 1770393939.6370094, "env_id": "V2GEnv-continuous"}
r,l,t
-44.243986,24,1.154574
-30.33753,17,1.160576
-3.961622,5,1.163575
-37.454714,13,1.169574
-27.018485,24,1.181576
-21.425449,14,1.187575
-20.340541,15,1.578264
-26.133962,18,1.766287
-19.307156,12,1.885497
-30.709988,20,2.076156
-25.60705,19,2.262172
-38.726934,22,2.473242
-22.454128,14,2.610622
-48.235676,28,2.881254
-13.413658,9,2.965759
-24.086548,17,3.124786
-27.426416,17,3.288802
-11.882457,8,3.362814
-48.278454,21,3.556972
-12.189281,8,3.634634
-30.93754,20,3.82527
-20.832509,12,3.940337
-38.195886,16,4.099675
-38.797984,19,4.341701
-19.263801,11,4.464067
-21.250021,22,4.704088
-25.533003,12,4.833939
-21.128187,14,4.97213
-6.454516,5,5.029026
-25.346546,18,5.240108
-9.753456,6,5.302622
-47.501075,23,5.585886
-34.696707,15,5.741796
-9.050818,10,5.862838
-11.877608,10,5.969827
-14.569838,13,6.122864
-9.412433,7,6.205781
-13.067041,7,6.287291
-7.616314,6,6.359799
-34.228521,15,6.512316
-4.559203,6,6.588827
-31.818236,15,6.759503
-13.698218,10,6.863911
-13.710896,12,6.99557
-18.317598,7,7.070723
-7.839195,8,7.159759
-33.960457,18,7.351776
-20.463782,14,7.499285
-8.771363,8,7.602397
-23.340723,15,7.771998
-31.366364,12,7.892509
-30.364471,12,8.028895
-15.799055,13,8.190201
-14.427874,9,8.282396
-8.097002,7,8.356904
-8.513777,6,8.428907
-29.646988,14,8.597986
-4.906037,7,8.679498
-11.855292,9,8.785009
-17.034973,8,8.879859
-25.290434,17,9.08988
-23.134792,18,9.2805
-12.212261,12,9.409713
-24.97207,22,9.662243
-8.580307,7,9.757756
-8.696719,10,9.860137
-5.327109,9,9.947142
-9.745526,10,10.05521
-10.503893,9,10.16272
-25.023853,15,10.328929
-23.603458,11,10.446549
-6.427332,8,10.536017
-32.164201,8,10.622113
-15.140643,10,10.733643
-17.527821,8,10.814211
-4.504675,7,10.893722
-13.073366,11,11.002237
-14.461413,15,11.171787
-10.509143,10,11.296806
-16.415031,6,11.366637
-8.037331,10,11.460716
-10.128129,13,11.584891
-10.593408,9,11.67399
-20.987071,8,11.747993
-18.059972,8,11.825215
-4.833792,5,11.888455
-30.557666,15,12.040267
-22.8134,9,12.124774
-4.614993,6,12.202287
-9.70819,7,12.278369
-15.687006,12,12.397386
-12.596496,11,12.504896
-15.036842,18,12.70592
-6.5515,8,12.790431
-6.562018,10,12.893919
-10.848956,12,13.009429
-16.352975,18,13.189448
-9.195964,10,13.292399
-24.338086,21,13.506956
-30.18085,21,13.722752
-2.535116,6,13.780784
-6.375167,8,13.856029
-19.637632,11,13.976177
-2.006344,4,14.016179
-4.449759,9,14.099685
-4.881232,9,14.190197
-14.163589,10,14.285271
-9.880026,10,14.376312
-9.870782,11,14.484823
-11.120734,13,14.623328
-24.070052,20,14.813496
-10.465008,11,14.929526
-7.599825,7,14.996555
-11.183765,8,15.074597
-10.670085,15,15.23087
-13.264777,13,15.377705
-18.518886,18,15.561728
-13.03933,13,15.701645
-4.431926,6,15.779384
-2.786257,6,15.842387
-6.905777,7,15.924804
-16.211952,15,16.070509
-4.736805,8,16.147511
-16.648238,12,16.275528
-14.078694,6,16.339533
-14.271885,11,16.458131
-8.023876,12,16.588728
-10.57677,9,16.67993
-5.983986,8,16.772438
-8.869417,11,16.905949
-8.709394,11,17.01046
-25.839008,17,17.166475
-2.63113,6,17.229476
-10.907356,14,17.365159
-25.433541,18,17.544331
-9.163658,10,17.661708
-29.069013,8,17.756217
-7.83422,12,17.887755
-8.409623,6,17.95977
-18.407387,20,18.15806
-7.270167,9,18.246062
-11.15564,11,18.366078
-7.607834,8,18.466189
-6.96314,7,18.550192
-13.352039,17,18.758296
-14.26875,11,18.872968
-13.002887,12,19.000477
-9.209715,10,19.111555
-22.407568,12,19.256576
-6.235072,4,19.302577
-5.885761,8,19.389771
-11.331349,10,19.516281
-6.358489,9,19.609791
-22.393714,13,19.744755
-34.651039,19,19.95738
-13.940611,16,20.126935
-11.047795,15,20.284955
-12.06088,13,20.424211
-9.000433,10,20.523283
-4.109905,4,20.559791
-19.424931,11,20.663521
-10.080146,17,20.827552
-4.098904,8,20.900593
-13.193372,12,21.036695
-16.836809,6,21.109205
-5.92578,7,21.183714
-15.701897,17,21.381736
-6.556113,8,21.46778
-20.838178,24,21.724806
-15.057732,12,21.845322
-18.872056,9,21.936833
-11.754084,13,22.072857
-10.112725,10,22.17983
-19.72936,14,22.328069
-20.093118,16,22.499094
-18.785229,9,22.608603
-18.699299,15,22.776534
-6.928882,8,22.850369
-35.406183,18,23.047569
-14.466679,15,23.227153
-8.71501,10,23.336662
-15.407413,20,23.571884
-7.411347,11,23.6814
-6.312449,9,23.770915
-17.319371,7,23.848919
-12.904744,6,23.916938
-11.312901,13,24.060828
-23.786645,14,24.22134
-7.669083,8,24.303113
-6.473919,9,24.386185
-7.065984,8,24.482699
-6.896681,11,24.619211
-12.203361,16,24.801805
-4.631989,5,24.851811
-16.876396,13,24.992387
-5.428258,4,25.03539
-14.548095,4,25.073898
-15.828604,11,25.205923
-6.803842,8,25.287436
-14.591163,6,25.365946
-12.09508,14,25.49821
-6.279095,8,25.576101
-4.512551,8,25.651032
-5.56209,10,25.743377
-7.097449,6,25.803959
-16.976727,11,25.906394
-4.409699,6,25.963903
-9.734277,12,26.0857
-4.317429,6,26.148702
-7.010867,10,26.243967
-7.497149,6,26.30076
-11.077009,10,26.391267
-14.775079,16,26.551644
-7.943954,10,26.645185
-8.573645,11,26.748233
-17.190054,8,26.822698
-8.03724,11,26.926402
-10.895989,11,27.031313
-6.925016,8,27.10639
-18.3292,10,27.198488
-10.181474,12,27.312483
-20.605457,11,27.415623
-10.265444,11,27.516659
-12.020948,13,27.63727
-12.643204,13,27.766041
-8.478027,10,27.86502
-6.784357,10,27.954789
-7.571831,7,28.020295
-6.500843,8,28.097423
-9.585452,8,28.173933
-7.351689,10,28.265631
-15.636474,18,28.432658
-16.142042,7,28.499615
-8.57616,11,28.606686
-14.811893,21,28.805629
-15.489997,8,28.881643
-16.690755,22,29.088792
-14.555422,12,29.201421
-3.476581,4,29.237421
-11.298219,11,29.340583
-9.274167,9,29.426093
-7.060336,5,29.47114
-4.764595,5,29.525141
-12.247181,17,29.687074
-14.015301,10,29.785153
-4.013569,5,29.833154
-21.196252,14,29.96234
-7.855004,8,30.03934
-12.922622,13,30.163596
-35.105361,15,30.306395
-16.043833,15,30.443009
-9.665873,7,30.508098
-10.270384,14,30.641148
-3.21588,8,30.723877
-3.249323,7,30.7933
-9.053329,8,30.869358
