epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,1.558856,0.742168,0.1055,-3.559437,2.307362,0.664023,0.094929,0.01,1.200458
2,1.600428,0.743746,0.106877,-3.565902,2.292912,0.620696,0.090144,0.01,1.236066
3,1.565337,0.722468,0.104097,-3.556368,2.292722,0.633678,0.089186,0.01,1.229778
4,1.640258,0.755973,0.107361,-3.563829,2.453904,0.646058,0.096138,0.01,1.309578
5,1.578178,0.740917,0.109725,-3.539026,2.409268,0.657776,0.09318,0.01,1.236941
6,1.578873,0.738721,0.107211,-3.520867,2.121329,0.690045,0.094074,0.01,1.148016
7,1.630921,0.748167,0.108532,-3.524831,2.249654,0.672669,0.08723,0.01,1.172935
8,1.560497,0.724666,0.107293,-3.505657,2.424093,0.669057,0.08928,0.01,1.186849
9,1.617491,0.730249,0.10696,-3.513232,2.091781,0.676712,0.095187,0.01,1.199601
10,1.511211,0.730405,0.107063,-3.493869,2.296428,0.631731,0.090996,0.01,1.139538
11,1.56013,0.750843,0.111146,-3.485403,2.139239,0.651996,0.090589,0.01,1.190951
12,1.522403,0.717307,0.107227,-3.470559,2.36132,0.666153,0.098995,0.01,1.07736
13,1.51455,0.719445,0.106432,-3.479541,2.383896,0.686817,0.092856,0.01,1.171216
14,1.499118,0.704886,0.104694,-3.459755,2.031644,0.688168,0.096893,0.01,1.070712
15,1.567944,0.726416,0.107465,-3.461695,2.265834,0.668531,0.098547,0.01,1.071563
16,1.57032,0.731095,0.108671,-3.454187,2.364732,0.719149,0.097521,0.01,1.215679
17,1.432097,0.714186,0.108314,-3.434101,2.175153,0.684287,0.098534,0.01,1.034275
18,1.467578,0.709616,0.107538,-3.466511,2.092069,0.669372,0.095001,0.01,1.058956
19,1.508753,0.725651,0.109629,-3.429591,2.187497,0.676702,0.099327,0.01,1.040861
20,1.520744,0.708766,0.107849,-3.443203,2.02931,0.644221,0.093107,0.01,1.073541
