epoch,amount_charged,amount_discharged,charge_price_quality,discharge_price_quality,soc_below_target,soc_above_target,journey_failure
1,0.500127,0.499372,-0.49244,-0.501055,-0.998043,-0.193871,-0.998782
2,0.500203,0.498795,-0.484791,-0.501963,-0.996117,-0.18781,-0.997591
3,0.500282,0.498135,-0.476977,-0.502915,-0.994167,-0.181988,-0.996395
4,0.500212,0.497433,-0.469776,-0.503908,-0.992502,-0.175351,-0.995266
5,0.500327,0.496886,-0.461906,-0.504601,-0.990571,-0.169551,-0.994085
6,0.500246,0.496054,-0.453967,-0.505711,-0.988519,-0.164007,-0.992811
7,0.500187,0.495166,-0.445785,-0.506582,-0.986475,-0.15878,-0.991562
8,0.500112,0.494496,-0.437718,-0.507574,-0.984518,-0.153338,-0.990333
9,0.500206,0.49389,-0.42992,-0.508409,-0.982484,-0.147514,-0.98911
10,0.50007,0.493021,-0.421604,-0.509396,-0.980404,-0.142552,-0.987827
11,0.500024,0.492144,-0.413332,-0.509941,-0.978563,-0.137351,-0.986596
12,0.499805,0.491267,-0.404768,-0.511047,-0.976288,-0.132958,-0.985313
13,0.499717,0.490519,-0.396911,-0.511916,-0.97432,-0.127223,-0.984064
14,0.499469,0.489695,-0.388574,-0.513496,-0.971981,-0.122588,-0.982753
15,0.499312,0.488713,-0.379529,-0.514483,-0.969589,-0.119399,-0.981396
16,0.499091,0.487869,-0.371556,-0.515218,-0.967877,-0.113736,-0.980202
17,0.498797,0.486939,-0.362405,-0.516425,-0.965424,-0.111031,-0.9788
18,0.498446,0.485867,-0.353211,-0.517357,-0.962891,-0.108475,-0.977429
19,0.498369,0.484919,-0.34406,-0.518245,-0.960479,-0.105602,-0.97604
20,0.498189,0.484146,-0.335133,-0.519321,-0.958043,-0.102121,-0.974687
