epoch,train_dtw,train_mae,train_feat_l2,disc_loss,expert_acc,policy_acc,val_dtw,val_mae,val_feat_l2,lr
1,1.774531,0.240288,5.374762,0.944078,0.9984,0.0094,1.936071,0.227937,6.244564,0.001
2,1.651007,0.233686,5.111496,0.634176,0.716,0.5703,1.823053,0.238721,6.801032,0.001
3,1.669855,0.265766,11.858084,0.706857,0.5385,0.6401,1.8925,0.279924,11.957156,0.001
4,1.338598,0.207641,4.225785,0.615984,0.5582,0.7044,1.570442,0.217771,6.33545,0.001
5,1.309004,0.209847,5.198545,0.587982,0.6045,0.7561,1.571712,0.237877,5.909396,0.001
6,1.343062,0.228647,9.10402,0.559535,0.7023,0.7543,1.57519,0.242652,8.683402,0.001
7,1.281031,0.200547,3.91589,0.486354,0.7499,0.8266,1.333779,0.198568,4.471432,0.001
8,1.513247,0.246587,11.210102,0.470168,0.756,0.8265,1.40138,0.239261,11.139653,0.001
9,1.285548,0.197955,3.881373,0.437959,0.7885,0.8137,1.39452,0.194556,4.853719,0.001
10,1.107171,0.191277,7.077588,0.479918,0.7936,0.7797,1.169021,0.216013,8.666924,0.001
11,1.012157,0.166103,2.9794,0.450181,0.8407,0.7851,1.086553,0.16284,2.8993,0.001
12,0.858123,0.149918,4.240276,0.537899,0.7697,0.7275,0.765941,0.136818,3.985674,0.001
13,0.846468,0.143017,2.505617,0.501016,0.797,0.7385,1.000348,0.153073,3.554007,0.001
14,0.778046,0.135362,3.429561,0.554039,0.7452,0.7221,0.678806,0.130279,3.689543,0.001
15,0.746837,0.127274,2.284287,0.562429,0.7641,0.6724,0.763517,0.129832,2.062707,0.001
16,0.740649,0.127714,2.471595,0.560658,0.8062,0.6719,0.757729,0.125656,2.986652,0.001
17,0.719804,0.124117,2.325846,0.563318,0.8207,0.6666,0.658038,0.114152,2.615127,0.001
18,0.709331,0.123327,2.488363,0.552943,0.8372,0.6836,0.672055,0.125749,3.200031,0.001
19,0.716109,0.123213,2.397239,0.551945,0.8201,0.6832,0.736837,0.118587,3.050899,0.001
20,0.707386,0.123177,2.413523,0.56607,0.8062,0.6688,0.685451,0.128647,3.078977,0.001
