#{"t_start": 1778508115.8933902, "env_id": "V2GEnv-continuous"}
r,l,t
-0.548708,25,30.027656
-3.264875,13,30.086165
-2.525711,22,30.190673
-3.056652,26,30.315181
-3.714008,10,30.363183
-3.465171,16,30.455764
-3.319936,18,30.591306
-2.478194,14,30.696548
-0.360398,9,30.752552
-1.080956,13,30.823819
-0.889523,15,30.903329
-2.06283,21,31.016835
-1.564713,30,31.174851
-5.903525,28,31.32336
-2.27232,5,31.34936
-0.964102,15,31.421869
-0.126045,22,31.53538
-0.736799,12,31.591889
-1.298775,24,31.715396
-2.260264,23,31.845905
-4.046294,8,31.895435
-1.857168,27,32.039333
-1.9441,16,32.130842
-1.964541,17,32.221352
-0.682816,18,32.312859
-2.048777,13,32.380367
-1.138158,19,32.483857
-2.758053,23,32.620369
-0.745379,18,32.718539
-1.790095,10,32.775048
-4.852296,17,32.864051
-0.378157,15,32.945556
0.009767,18,33.041581
-1.705316,33,33.214113
-3.179503,21,33.312622
-1.241504,23,33.425131
-1.459819,25,33.54464
-2.330819,10,33.592149
-1.364949,9,33.639148
-3.030501,23,33.754661
-0.977455,17,33.834167
-0.286466,10,33.886675
-0.313742,13,33.954678
-2.081734,27,34.112488
-0.732248,18,34.193046
-3.661392,18,34.271557
-1.825328,12,34.334557
-0.101375,13,34.397066
-2.195147,7,34.433574
-1.908589,8,34.470793
-2.035011,24,34.590301
-0.727538,19,34.682809
-0.1242,19,34.778317
-3.664353,19,34.889824
-0.505005,29,35.057335
-13.604534,26,35.18435
-2.122396,13,35.24235
-2.465834,9,35.286863
-4.742076,26,35.413372
-1.619597,13,35.472881
-1.972294,13,35.532881
-2.361723,22,35.635389
-3.252795,10,35.6789
-3.253535,23,35.803406
-1.802602,14,35.898418
-2.734973,28,36.049926
-2.811587,19,36.159436
-1.200793,14,36.235214
-4.373166,14,36.321958
-1.063538,36,36.513085
-5.622689,27,36.659596
-0.530842,30,36.827612
-0.023183,20,36.931121
-0.629295,25,37.075139
-3.32177,19,37.179645
-0.620243,10,37.234645
-1.220974,19,37.333153
-1.050845,15,37.422661
-2.935589,24,37.572102
-1.938869,17,37.67461
-1.088692,10,37.74061
-0.780066,19,37.862119
-0.7355,14,37.956769
-1.991949,28,38.172293
-1.073968,20,38.328802
-1.130267,7,38.38509
-2.432058,26,38.533931
-2.155155,25,38.682945
-3.080834,27,38.869454
-2.505915,13,38.950564
-3.46687,16,39.075581
-0.911679,10,39.148581
-0.36282,24,39.328596
-0.631955,29,39.536296
-0.400007,18,39.649801
-2.828333,11,39.685892
-1.807873,26,39.879417
-1.48802,13,39.976924
-1.719147,21,40.118434
-3.154505,22,40.236942
-0.78487,25,40.371189
-5.521895,19,40.472766
-1.927047,13,40.552038
-2.496997,31,40.722739
-1.588739,23,40.85925
-1.767306,12,40.923764
-2.251691,22,41.048274
-2.144874,23,41.173807
-1.875381,17,41.254806
-1.503135,17,41.355835
-1.619097,29,41.542307
-3.312807,38,41.801343
-4.139093,22,41.958852
-4.69588,20,42.084156
-2.228509,3,42.106154
-1.718133,26,42.316522
-2.435289,19,42.415031
-1.920871,15,42.50154
-1.224014,12,42.568546
-1.619295,6,42.607893
-0.671219,22,42.729153
-1.954556,19,42.8327
-1.18094,22,42.944714
-1.498876,14,43.019228
-0.232603,21,43.131737
-0.976519,25,43.274754
-3.240828,27,43.427262
-0.705021,8,43.474771
-3.021471,25,43.597279
-1.413051,15,43.657278
-0.932651,21,43.784818
0.201717,10,43.86182
-4.371127,16,43.973831
-1.260254,21,44.107851
-0.547587,20,44.263684
-0.979683,7,44.323865
-1.555495,18,44.452874
-0.84374,16,44.577889
-1.368362,12,44.673394
-2.451699,13,44.768399
-1.957143,18,44.899415
-1.511353,16,45.009056
-1.797376,21,45.141623
-0.917162,14,45.238131
-0.89393,13,45.323638
-0.491245,19,45.443511
-2.446172,8,45.487019
-1.548298,19,45.633487
-1.69538,30,45.8185
-1.68991,28,45.993868
-1.987355,34,46.207883
-1.062082,16,46.31839
-1.94174,31,46.540406
-0.986524,27,46.70242
-0.206122,11,46.791927
-2.770611,12,46.857926
-2.276649,13,46.937924
-0.8015,15,47.045431
-1.946881,18,47.153664
-1.714348,8,47.204429
-1.051941,16,47.318439
-1.951118,26,47.496143
-1.006026,21,47.650649
-3.142794,25,47.816195
-1.271653,31,48.019427
-0.942819,18,48.130935
-0.241985,6,48.160573
-0.46908,6,48.210078
-0.478263,23,48.381094
-2.308301,39,48.667824
-2.728943,13,48.767332
-1.133284,25,48.927345
-1.07362,26,49.137055
-1.48644,35,49.380981
-0.212381,32,49.59463
-0.728958,7,49.641629
-0.305925,22,49.801644
0.020934,23,49.949152
-0.941274,23,50.12975
-1.152506,14,50.246256
-2.273903,41,50.517781
-1.928553,6,50.561783
-2.423514,9,50.626288
-4.41238,20,50.736323
-0.28843,12,50.79983
-0.594076,17,50.895336
-1.78441,22,51.004846
-1.925261,20,51.101354
-1.722746,26,51.229864
-0.725589,17,51.320374
-1.077412,25,51.483462
-1.018625,7,51.521505
-0.641976,26,51.665527
-0.942782,21,51.782539
-2.176427,22,51.913047
-3.040527,17,52.031553
-0.098827,29,52.209568
-2.256369,7,52.250631
0.114115,40,52.513391
-1.162487,8,52.583899
-1.292725,9,52.657899
-1.165501,5,52.692407
-0.816878,7,52.750408
-1.456563,28,52.949422
-1.579041,14,53.037928
0.179419,38,53.305189
-0.964304,21,53.427698
-0.722788,12,53.518204
0.205601,19,53.676492
0.084596,31,53.942576
-0.458257,29,54.158589
-0.260395,16,54.275099
-0.511746,11,54.359603
-0.406413,19,54.490979
-0.754073,18,54.620061
-0.174602,12,54.698569
-0.949753,21,54.857077
-0.79527,26,55.02509
0.211928,24,55.189654
0.102806,34,55.45823
0.320769,28,55.683695
-0.536843,13,55.777697
-0.322579,18,55.902818
-0.946263,20,56.023829
-0.926026,21,56.144336
0.021442,33,56.358351
-0.865034,29,56.564938
-1.671365,15,56.68003
-0.362805,20,56.818256
0.102773,43,57.117356
-0.313258,20,57.264865
-1.060877,26,57.439877
-0.786475,23,57.610589
-1.133273,26,57.823606
-0.594372,20,57.960113
-1.318899,10,58.023371
-1.305308,16,58.127435
-2.000751,13,58.211472
0.288892,29,58.420114
-0.348508,25,58.589019
-0.868559,28,58.769683
-0.02889,31,58.984905
-0.219902,14,59.084413
-0.83566,15,59.202919
-1.106864,29,59.372431
-1.378997,18,59.434074
-1.120974,26,59.609088
-1.100798,11,59.669091
-0.474584,32,59.854105
-2.309135,9,59.907613
-1.018926,11,59.963613
0.490763,21,60.071123
0.124541,28,60.225864
-2.500176,22,60.342486
-0.103532,23,60.471997
0.365553,28,60.61801
-2.102904,19,60.712517
0.338265,25,60.871027
0.438301,42,61.204614
-0.246517,33,61.433826
-2.112579,20,61.573336
-2.422738,33,61.809855
-0.022729,16,61.913363
-0.137702,14,62.002871
0.231012,23,62.186228
-0.415874,23,62.340811
0.322088,17,62.439017
-2.023783,20,62.579527
-0.562621,16,62.696539
-0.51498,28,62.869049
0.183375,21,63.038042
-1.3969,24,63.231604
-3.907913,34,63.483128
-1.182458,12,63.57713
-0.192648,21,63.725141
0.512793,44,63.993221
-0.796891,6,64.038221
-0.564713,14,64.142727
-0.18687,32,64.378743
-0.559801,22,64.525665
-0.8837,11,64.613731
-0.38781,22,64.778832
-0.183423,27,64.982352
0.244947,29,65.173862
-0.197299,28,65.379615
-0.309597,22,65.552626
-0.831899,31,65.77019
0.436805,24,65.940201
-0.266055,36,66.225723
-0.217293,10,66.291231
-0.274945,28,66.447217
-0.971059,15,66.549724
-0.67571,21,66.727237
-0.115936,12,66.807389
-0.620132,10,66.866388
0.097858,21,67.014403
0.557269,34,67.275418
0.451205,33,67.490639
-0.155763,19,67.626146
0.681351,30,67.860162
0.199949,25,68.030175
0.06451,22,68.218189
-0.834939,20,68.349698
-1.02391,18,68.437207
-0.224399,20,68.573719
0.689323,39,68.805241
-0.110492,18,68.89731
-0.845945,15,68.985368
0.014479,20,69.091877
-0.742924,31,69.263385
-1.005584,18,69.376896
-0.987136,10,69.430706
0.956667,36,69.626724
-0.153808,33,69.819319
-0.098069,26,70.011059
-0.643212,15,70.126568
0.633315,30,70.35858
0.551332,35,70.654109
0.769836,31,70.797233
0.708852,32,71.02581
-0.235742,31,71.251425
0.628972,29,71.471512
-0.116952,31,71.698033
0.685636,38,71.944048
-0.184409,17,72.040556
0.216835,35,72.235572
-0.58263,42,72.442588
-0.270468,52,72.680605
0.289673,18,72.761111
-0.49474,27,72.881621
0.687186,33,73.025639
-0.047723,7,73.058639
-0.192824,23,73.158148
0.258546,18,73.272182
0.414558,38,73.569396
-0.1498,40,73.853622
0.834104,33,74.088755
0.389936,31,74.326768
-0.742704,33,74.594894
-0.155398,13,74.707157
-0.039743,28,74.88817
-0.381482,16,75.009679
0.843301,34,75.263692
0.014778,17,75.399364
-2.438976,9,75.486017
0.270602,25,75.672527
