#{"t_start": 1771548465.5220585, "env_id": "V2GEnv-continuous"}
r,l,t
-56.268598,29,1.138386
-30.365197,15,1.141386
-20.213676,11,1.144388
-34.078606,21,1.14939
-40.373789,14,1.152388
-37.838182,16,1.15539
-18.02687,11,1.157897
-42.712426,18,1.161896
-83.859512,32,1.167896
-20.330797,9,1.169896
-30.741115,13,1.171896
-6.411256,7,1.173895
-62.628645,18,1.177896
-60.063909,32,1.183895
-18.232965,7,1.184895
-7.66819,4,1.185895
-26.287237,16,1.189896
-31.772368,23,1.193895
-47.283962,21,1.197896
-45.454938,29,1.202895
-43.45346,20,1.206894
-30.323184,15,1.209894
-53.766994,28,1.215895
-43.395018,11,1.218896
-17.389128,14,1.221894
-36.191625,19,1.225893
-92.215794,36,1.232893
-34.735397,17,1.236893
-38.732533,14,1.240893
-42.275289,20,1.244896
-53.980538,33,1.251897
-13.939069,8,1.252896
-28.204486,13,1.255897
-66.225449,16,1.259402
-25.888978,12,1.262402
-39.430055,21,1.266402
-57.636073,15,1.269401
-41.774369,15,1.272401
-63.517675,20,1.276401
-58.978619,16,1.2794
-28.456254,12,1.282401
-34.855927,13,1.2844
-36.34848,16,1.2874
-22.982084,10,1.2904
-45.348974,15,1.2924
-21.648712,10,1.295401
-39.895988,21,1.2994
-45.16171,16,1.3024
-53.199229,18,1.3054
-70.52303,33,1.311399
-33.479553,15,1.3154
-20.612685,11,1.3174
-37.838538,11,1.319401
-29.588025,21,1.323399
-56.953916,31,1.329399
-35.498632,15,1.332399
-24.179672,9,1.3354
-32.886481,17,1.403438
-1.782554,3,2.123175
-73.787586,20,2.154239
-105.599833,34,2.197958
-217.708152,68,2.285021
-42.122762,14,2.304019
-105.752373,44,2.366085
-76.185836,36,2.419082
-76.756195,25,2.452085
-66.662847,15,2.472592
-63.711615,32,2.515592
-63.344644,25,2.545595
-21.184608,8,2.555595
-66.530277,14,2.575103
-54.012662,15,2.592104
-62.539319,28,2.628103
-39.477071,16,2.649105
-19.821151,12,2.664119
-36.446341,14,2.685119
-41.720092,11,2.700118
-43.531084,10,2.711119
-12.590975,10,2.730117
-37.651482,23,2.761629
-41.403759,16,2.783628
-21.907667,12,2.803626
-64.104177,22,2.833626
-18.144032,12,2.848628
-29.649875,14,2.864139
-19.440697,21,2.894137
-32.861298,21,2.919136
-67.671411,26,2.951142
