scenario,Male 50-59,Male 40-49
below_target_charge,0.22267957031726837,0.22396475076675415
at_target_charge,0.22239887714385986,0.22398236393928528
above_target_charge,0.22277677059173584,0.22409285604953766
below_target_discharge,0.22313883900642395,0.22392795979976654
at_target_discharge,0.2236882597208023,0.22519589960575104
above_target_discharge,0.2238207459449768,0.22597917914390564
at_target_idle,0.22319287061691284,0.2244466096162796
below_target_idle,0.2227473109960556,0.22426837682724
above_target_idle,0.22374227643013,0.22529354691505432
cheap_price_charge,0.19847524166107178,0.19698293507099152
mean_price_charge,0.21798354387283325,0.22002258896827698
expensive_price_charge,0.23324152827262878,0.2360287606716156
cheap_price_discharge,0.20278912782669067,0.2004057914018631
mean_price_discharge,0.21528440713882446,0.21833612024784088
expensive_price_discharge,0.23002953827381134,0.23236757516860962
urgent_low_soc_charge,0.20667125284671783,0.2080705314874649
distant_low_soc_charge,0.21716031432151794,0.21567155420780182
urgent_high_soc_idle,0.214403435587883,0.21771472692489624
distant_high_soc_idle,0.2278943657875061,0.22890064120292664
needs_soc_but_expensive,0.21864187717437744,0.22661536931991577
has_soc_cheap_discharge,0.2028709352016449,0.19590938091278076
full_battery_expensive_dis,0.24250005185604095,0.2381342202425003
empty_battery_cheap_charge,0.19816401600837708,0.19194476306438446
