#{"t_start": 1771948991.5503306, "env_id": "V2GEnv-continuous"}
r,l,t
-47.723449,33,1.267746
-67.568392,26,1.270805
-12.814507,7,1.273325
-27.904542,10,1.273827
-41.437872,28,1.27835
-25.354299,23,1.281372
-50.098697,12,1.283898
-29.029578,31,1.288453
-36.227792,12,1.289961
-42.518608,12,1.291468
-31.58982,20,1.297021
-41.910508,15,1.300054
-45.536602,9,1.301561
-33.952834,17,1.304116
-26.538776,13,1.307133
-26.40472,9,1.308646
-45.410993,19,1.310151
-41.717607,18,1.313165
-26.033342,16,1.316182
-50.648498,9,1.317688
-89.154597,22,1.32074
-32.907276,9,1.322247
-38.192612,18,1.325261
-38.047585,14,1.328279
-21.9697,17,1.332818
-31.776449,25,1.335382
-37.10433,12,1.338401
-44.102864,35,1.342923
-21.870251,8,1.344257
-25.869035,12,1.345771
-57.144286,12,1.347284
-45.45204,12,1.350343
-28.572784,14,1.351855
-31.371189,8,1.353368
-46.121138,10,1.354888
-76.660174,23,1.357919
-39.968607,11,1.362463
-40.297736,25,1.367026
-25.44843,23,1.371564
-90.784299,24,1.374095
-71.869079,13,1.37711
-20.118806,7,1.37711
-41.373087,23,1.380126
-66.261413,24,1.384688
-20.410771,16,1.387713
-25.16547,19,1.390727
-36.069898,27,1.396261
-40.340262,13,1.397813
-36.516718,20,1.400844
-67.14697,28,1.405381
-38.816848,28,1.408406
-49.815387,25,1.411428
-19.925519,12,1.41401
-46.682382,19,1.417036
-28.300683,12,1.418545
-38.351442,8,1.420062
-60.286441,15,1.42157
-70.397792,22,2.243834
-96.199372,21,2.303172
-93.39425,28,2.380179
-46.929305,17,2.429794
-40.328423,15,2.469261
-50.494526,13,2.50368
-69.907282,15,2.546194
-88.156482,27,2.621079
-108.178195,20,2.676754
-53.582212,25,2.746072
-25.353624,10,2.773884
-71.086175,17,2.81989
-47.000426,30,2.908215
-69.198911,18,2.961453
-104.636712,22,3.023191
-94.016503,40,3.132343
-103.818046,42,3.252214
-39.218338,17,3.294542
-46.277122,21,3.353055
-21.023972,6,3.371242
-38.863038,14,3.406637
-86.227184,25,3.475332
-141.646908,28,3.55513
-40.178832,12,3.58603
-28.344597,12,3.618403
-59.114452,14,3.656835
-38.409163,9,3.684946
-42.389613,20,3.736525
-35.406873,17,3.788105
-57.196164,21,3.845381
-37.154891,9,3.872711
-36.716348,8,3.892941
-18.982763,9,3.918241
-45.003777,33,4.006778
-54.109106,17,4.053815
-46.843896,23,4.117586
-35.747576,8,4.13829
-68.474769,20,4.191291
-51.10423,14,4.22969
-38.812432,13,4.265017
-101.029922,41,4.376648
-43.881325,9,4.402927
-26.579583,11,4.431177
-104.593825,53,4.579782
-55.264778,21,4.634325
-25.666715,12,4.668144
-85.270508,19,4.722736
-10.438986,7,4.742918
-70.254561,22,4.806564
-50.190773,13,4.841953
-43.757482,13,4.880964
-60.603357,14,4.920392
-76.422361,21,4.980988
-95.305471,29,5.066483
-55.858132,16,5.111985
-94.314176,25,5.181244
-83.543274,22,5.243371
-66.888171,14,5.280198
-13.138366,11,5.310996
-22.612554,8,5.335791
-17.570742,9,5.357972
-43.844397,17,5.403419
-42.109089,6,5.422603
-65.504103,13,5.457898
-31.07489,12,5.493267
-18.79996,19,5.543221
-44.12849,20,5.599285
-41.628614,15,5.637204
-34.636908,17,5.685704
-83.091007,30,5.772682
-66.237658,31,5.855736
-58.756078,25,5.930969
-15.850109,6,5.94664
-41.673465,13,5.98348
