epoch,train_dtw,train_mae,train_feat_l2,disc_loss,expert_acc,policy_acc,val_dtw,val_mae,val_feat_l2,lr
1,1.533024,0.210019,5.762204,1.748935,0.9622,0.0887,1.711128,0.222467,5.25096,0.001
2,1.194232,0.189812,4.66965,1.22616,0.5844,0.7161,1.241966,0.185216,4.312646,0.001
3,1.666387,0.292173,13.533647,1.238627,0.6174,0.7106,1.790519,0.258905,11.450151,0.001
4,1.22046,0.18631,4.837606,1.182335,0.6123,0.7397,1.284198,0.193478,4.164358,0.001
5,1.250638,0.231314,7.653624,1.056295,0.7318,0.782,1.23087,0.201622,5.630258,0.001
6,1.052398,0.169446,4.183695,0.967304,0.7824,0.8258,1.310828,0.184684,3.746754,0.001
7,1.300748,0.25047,10.302979,0.816264,0.8042,0.8439,1.219074,0.213477,7.881794,0.001
8,1.147465,0.175713,4.590568,0.894173,0.7595,0.8144,1.13773,0.175625,3.956884,0.001
9,0.953533,0.188268,5.747766,0.97577,0.7907,0.7654,0.828803,0.150089,3.85108,0.001
10,0.935072,0.153506,4.021897,0.957142,0.7668,0.7911,1.015188,0.158591,3.710287,0.001
11,0.841583,0.161302,4.064822,1.021626,0.7836,0.7487,0.733384,0.142027,2.871186,0.001
12,0.819835,0.138317,3.426312,1.045403,0.7781,0.7448,0.970606,0.150935,3.262223,0.001
13,0.723029,0.130791,3.049321,1.117063,0.7688,0.7094,0.719001,0.1209,2.658836,0.001
14,0.743609,0.129995,3.03555,1.093008,0.8107,0.7038,0.601844,0.096742,2.417105,0.001
15,0.724664,0.130914,2.949036,1.115919,0.7947,0.7021,0.622089,0.104936,1.93022,0.001
16,0.72745,0.126455,3.021223,1.105231,0.803,0.6921,0.807629,0.133881,2.345867,0.001
17,0.70959,0.128536,2.959497,1.124055,0.8025,0.6849,0.817987,0.126491,3.691934,0.001
18,0.719685,0.128531,3.011704,1.082255,0.8245,0.6983,0.749369,0.125004,2.37183,0.001
19,0.72512,0.129116,2.925252,1.088024,0.814,0.6975,0.694523,0.12546,2.157404,0.001
20,0.690556,0.126416,3.014871,1.091245,0.823,0.6937,0.591596,0.10579,2.843394,0.001
